"_id__$oid","cycles__001","election_districts__001","federal_funds_flag","election_years__001","office_full","load_date","last_f2_date","office","flags","incumbent_challenge","district_number","first_file_date","candidate_status","candidate_inactive","state","party","active_through","name","party_full","has_raised_funds","last_file_date","incumbent_challenge_full","candidate_id","inactive_election_years","district","cycles__002","cycles__003","cycles__004","election_districts__002","election_years__002","election_years__003","cycles__005","cycles__006","cycles__007","election_districts__003","inactive_election_years__-","cycles__008","cycles__009","cycles__010","election_districts__004","election_districts__005","election_districts__006","election_districts__007","election_districts__008","election_districts__009","election_districts__010","election_years__004","election_years__005","election_years__006","election_years__007","election_years__008","election_years__009","election_years__010","election_years__011","election_years__012","election_districts__011","election_districts__012","cycles__011","cycles__012"
"60ad40fe9bac61a042766680","2020","06","False","2020","House","2019-07-22T21:11:27+00:00","2019-02-18","H","H0MO06180","C","6","2019-02-18","C","False","MO","DEM","2020","ABUNDIS, VICTOR","DEMOCRATIC PARTY","True","2019-02-18","Challenger","H0MO06180","null","06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766681","2012","00","False","2012","Senate","2018-02-17T09:16:20+00:00","2012-11-14","S","S2MO00429","C","0","2011-05-18","C","False","MO","REP","2018","AKIN, W TODD","REPUBLICAN PARTY","True","2012-11-14","Challenger","S2MO00429","null","00","2014","2016","2018","00","2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766682","2018","06","False","2018","House","2018-04-17T21:13:11+00:00","2018-02-07","H","H8MO06118","C","6","2018-02-07","C","False","MO","DEM","2018","APPLE, GARY WINSTON","DEMOCRATIC PARTY","True","2018-02-07","Challenger","H8MO06118","null","06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766683","2020","05","False","2020","House","2020-08-21T01:04:24+00:00","2020-06-17","H","H0MO05216","C","5","2020-06-17","C","False","MO","REP","2020","BARHAM, JERRY","REPUBLICAN PARTY","True","2020-06-17","Challenger","H0MO05216","null","05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766684","2018","02","False","2018","House","2018-02-07T21:13:27+00:00","2017-11-26","H","H8KS02207","O","2","2017-11-26","C","False","KS","REP","2018","BEVENS, MATTHEW RYAN","REPUBLICAN PARTY","True","2017-11-26","Open seat","H8KS02207","null","02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766685","2010","00","False","2010","Senate","2021-04-07T08:02:02+00:00","2016-12-27","S","S0MO00183","I","0","2009-02-19","C","True","MO","REP","2022","BLUNT, ROY","REPUBLICAN PARTY","True","2016-12-27","Incumbent","S0MO00183","","00","2012","2014","2016","00","2016","2022","2018","2020","2022","00","2022","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766686","2020","00","False","2020","Senate","2021-04-16T01:09:08+00:00","2021-04-15","S","S0KS00323","O","0","2019-10-16","C","False","KS","DEM","2020","BOLLIER, BARBARA","DEMOCRATIC PARTY","True","2021-04-15","Open seat","S0KS00323","null","00","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766687","2020","00","False","2020","Senate","2019-10-17T21:13:50+00:00","2019-06-28","S","S0KS00224","O","0","2019-06-28","C","False","KS","DEM","2020","BOYDA, NANCY E","DEMOCRATIC PARTY","True","2019-06-28","Open seat","S0KS00224","null","00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766688","2018","01","False","2018","House","2021-01-29T01:13:04+00:00","2020-12-22","H","H8MO01143","I","1","2017-04-20","C","False","MO","DEM","2022","BUSH, CORI","DEMOCRATIC PARTY","True","2020-12-22","Incumbent","H8MO01143","null","01","2020","2022","","01","2020","2022","","","","01","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766689","2016","07","False","2016","House","2016-07-11T20:58:46+00:00","2016-05-16","H","H6MO07268","C","7","2016-05-16","C","False","MO","REP","2016","BYRNE, MARY RADASZEWSKI MRS","REPUBLICAN PARTY","True","2016-05-16","Challenger","H6MO07268","null","07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a04276668a","2004","05","False","2004","House","2021-04-22T01:05:58+00:00","2021-04-08","H","H4MO05234","I","5","2004-02-06","C","False","MO","DEM","2022","CLEAVER, EMANUEL II","DEMOCRATIC PARTY","True","2021-04-08","Incumbent","H4MO05234","null","05","2006","2008","2010","05","2006","2008","2012","2014","2016","05","","2018","2020","2022","05","05","05","05","05","05","05","2010","2012","2014","2016","2018","2020","2022","","","","","",""
"60ad40fe9bac61a04276668b","2018","04","False","2017","House","2017-04-10T20:57:55+00:00","2017-02-02","H","H8KS04161","O","4","2017-02-02","C","False","KS","REP","2017","COBB, ALAN EARL","REPUBLICAN PARTY","True","2017-02-02","Open seat","H8KS04161","null","04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a04276668c","2018","03","False","2018","House","2021-02-01T01:05:17+00:00","2020-12-21","H","H8KS03155","I","3","2018-02-16","C","False","KS","DEM","2022","DAVIDS, SHARICE","DEMOCRATIC PARTY","True","2020-12-21","Incumbent","H8KS03155","null","03","2020","2022","","03","2020","2022","","","","03","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a04276668d","2020","05","False","2020","House","2020-04-16T21:12:37+00:00","2020-02-03","H","H0MO05208","C","5","2020-02-03","C","False","MO","REP","2020","DERKS, RYAN","REPUBLICAN PARTY","True","2020-02-03","Challenger","H0MO05208","null","05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a04276668e","2018","02","False","2018","House","2017-10-18T21:02:35+00:00","2017-07-07","H","H8MO02190","C","2","2017-07-07","C","False","MO","DEM","2018","DUNAWAY, KELLIN LYNN","DEMOCRATIC PARTY","True","2017-07-17","Challenger","H8MO02190","null","02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a04276668f","2018","07","False","2018","House","2018-04-17T21:13:11+00:00","2017-07-06","H","H8MO07173","C","7","2017-06-08","C","False","MO","REP","2018","EVANS, JIM","REPUBLICAN PARTY","True","2017-07-06","Challenger","H8MO07173","null","07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766690","2020","06","False","2020","House","2020-04-15T21:14:55+00:00","2020-02-18","H","H0MO06198","C","6","2020-02-18","C","False","MO","DEM","2020","FARRIS, RAMONA","DEMOCRATIC PARTY","True","2020-02-18","Challenger","H0MO06198","null","06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766691","2018","02","False","2018","House","2018-01-09T21:09:43+00:00","2017-02-25","H","H8KS02132","O","2","2017-02-25","C","False","KS","REP","2018","FIELDS, VERNON JAMES","REPUBLICAN PARTY","True","2017-02-25","Open seat","H8KS02132","null","02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766692","2018","02","False","2018","House","2018-01-09T21:09:43+00:00","2017-05-17","H","H8KS02140","O","2","2017-04-01","C","False","KS","REP","2018","FITZGERALD, STEPHEN EDWARD","REPUBLICAN PARTY","True","2017-05-17","Open seat","H8KS02140","null","02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766693","2018","03","False","2018","House","2019-08-05T21:05:21+00:00","2019-02-12","H","H8MO03198","C","3","2018-02-14","C","False","MO","DEM","2020","GEPPERT, KATY","DEMOCRATIC PARTY","True","2019-02-12","Challenger","H8MO03198","null","03","2020","","","03","2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a042766694","2000","06","False","2000","House","2021-03-30T01:04:56+00:00","2019-04-18","H","H0MO06073","I","6","2000-06-05","C","False","MO","REP","2022","GRAVES, SAMUEL B. JR.","REPUBLICAN PARTY","True","2021-03-01","Incumbent","H0MO06073","null","06","2002","2004","2006","06","2002","2004","2008","2010","2012","06","","2014","2016","2018","06","06","06","06","06","06","06","2006","2008","2010","2012","2014","2016","2018","2020","2022","06","06","2020","2022"
"60ad40ff9bac61a042766695","2008","02","False","2008","House","2016-08-02T22:00:24+00:00","2016-07-08","H","H8MO02158","C","1","2000-04-03","C","False","MO","DEM","2016","HAAS, WILLIAM C","DEMOCRATIC PARTY","True","2016-07-08","Challenger","H8MO02158","null","01","2010","2012","2016","02","2010","2012","","","","02","","","","","01","","","","","","","2016","","","","","","","","","","","",""
"60ad40ff9bac61a042766696","2018","02","False","2018","House","2017-10-24T21:01:05+00:00","2017-07-31","H","H8MO02224","C","2","2017-07-31","C","False","MO","DEM","2018","HAAS, WILLIAM C","DEMOCRATIC PARTY","True","2017-07-31","Challenger","H8MO02224","null","02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a042766697","2010","04","False","2010","House","2021-04-23T01:05:12+00:00","2021-01-11","H","H0MO04086","I","4","2009-07-23","C","False","MO","REP","2022","HARTZLER, VICKY","REPUBLICAN PARTY","True","2021-01-11","Incumbent","H0MO04086","null","04","2012","2014","2016","04","2012","2014","2018","2020","2022","04","","","","","04","04","04","04","","","","2016","2018","2020","2022","","","","","","","","",""
"60ad40ff9bac61a042766698","2020","02","False","2020","House","2019-10-25T21:28:14+00:00","2019-07-09","H","H0KS02170","C","2","2019-07-09","C","False","KS","DEM","2020","HODGSON, ABBIE","DEMOCRATIC PARTY","True","2019-07-09","Challenger","H0KS02170","null","02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a042766699","2018","03","False","2018","House","2018-07-09T21:05:17+00:00","2018-06-14","H","H8KS03171","C","3","2018-06-05","C","False","KS","REP","2018","KEEGAN, TREVOR","REPUBLICAN PARTY","True","2018-06-14","Challenger","H8KS03171","null","03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a04276669a","2014","05","False","2014","House","2014-07-16T23:31:36+00:00","2014-03-05","H","H4MO05309","C","5","2014-03-05","C","False","MO","REP","2014","LINDSAY, BILL","REPUBLICAN PARTY","True","2014-03-05","Challenger","H4MO05309","null","05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a04276669b","2020","00","False","2020","Senate","2019-07-23T21:24:02+00:00","2019-07-03","S","S0KS00240","O","0","2019-07-03","C","False","KS","REP","2020","LINDSTROM, DAVID ALAN","REPUBLICAN PARTY","True","2019-07-03","Open seat","S0KS00240","null","00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a04276669c","2010","07","False","2010","House","2021-03-15T01:12:26+00:00","2021-03-12","H","H0MO07113","I","7","2009-03-16","C","False","MO","REP","2022","LONG, BILLY MR.","REPUBLICAN PARTY","True","2021-03-12","Incumbent","H0MO07113","null","07","2012","2014","2016","07","2012","2014","2018","2020","2022","07","","","","","07","07","07","07","","","","2016","2018","2020","2022","","","","","","","","",""
"60ad40ff9bac61a04276669d","2008","09","False","2008","House","2021-05-05T01:34:30+00:00","2021-05-03","H","H8MO09153","I","3","2008-03-27","C","False","MO","REP","2022","LUETKEMEYER, W BLAINE","REPUBLICAN PARTY","True","2021-05-03","Incumbent","H8MO09153","null","03","2010","2012","2014","09","2010","2012","2016","2018","2020","03","","2022","","","03","03","03","03","03","","","2014","2016","2018","2020","2022","","","","","","","",""
"60ad40ff9bac61a04276669e","2010","01","False","2010","House","2021-05-20T01:49:36+00:00","2021-05-19","H","H0KS01123","I","1","2009-04-02","C","False","KS","REP","2022","MANN, TRACEY ROBERT","REPUBLICAN PARTY","True","2021-05-19","Incumbent","H0KS01123","null","01","2012","2014","2016","01","2020","2022","2018","2020","2022","01","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a04276669f","2020","00","False","2020","Senate","2021-04-07T08:02:02+00:00","2020-11-30","S","S0KS00315","I","0","2019-09-09","C","False","KS","REP","2026","MARSHALL, ROGER W","REPUBLICAN PARTY","True","2020-11-30","Incumbent","S0KS00315","null","00","2022","","","00","2026","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a0427666a0","2018","02","False","2018","House","2018-07-06T21:05:51+00:00","2018-05-10","H","H8KS02231","O","2","2018-05-10","C","False","KS","REP","2018","MAYS, MARION DOUGLAS","REPUBLICAN PARTY","True","2018-05-10","Open seat","H8KS02231","null","02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a0427666a1","2020","00","False","2020","Senate","2020-10-08T01:09:25+00:00","2020-06-30","S","S0KS00364","O","0","2020-06-30","C","False","KS","REP","2020","MILLER, JOHN","REPUBLICAN PARTY","True","2020-06-30","Open seat","S0KS00364","null","00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a0427666a2","2008","00","False","2010","Senate","2021-04-07T08:02:02+00:00","2021-03-09","S","S0KS00091","I","0","2008-11-07","C","False","KS","REP","2022","MORAN, JERRY","REPUBLICAN PARTY","True","2021-03-09","Incumbent","S0KS00091","null","00","2010","2012","2014","00","2016","2022","2016","2018","2020","00","","2022","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a0427666a3","2020","03","False","2020","House","2020-04-15T21:14:55+00:00","2019-10-30","H","H0MO03203","C","3","2019-10-30","C","False","MO","DEM","2020","OGLESBY, DENNIS","DEMOCRATIC PARTY","True","2019-10-30","Challenger","H0MO03203","null","03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a0427666a4","2018","02","False","2018","House","2018-04-27T00:10:45+00:00","2017-07-20","H","H8MO02216","C","2","2017-07-20","C","False","MO","DEM","2018","OSMACK, MARK","DEMOCRATIC PARTY","True","2017-07-20","Challenger","H8MO02216","null","02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a0427666a5","2018","02","False","2018","House","2018-07-17T21:11:36+00:00","2018-05-16","H","H8KS02249","O","2","2018-05-16","C","False","KS","REP","2018","PYLE, DENNIS","REPUBLICAN PARTY","True","2018-05-16","Open seat","H8KS02249","null","02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a0427666a6","2020","06","False","2020","House","2020-10-28T01:21:28+00:00","2020-10-26","H","H0MO06222","C","6","2020-10-21","C","False","MO","DEM","2020","ROSS, GENA L DR","DEMOCRATIC PARTY","True","2020-10-26","Challenger","H0MO06222","null","06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a0427666a7","2014","08","False","2014","House","2021-04-26T21:28:01+00:00","2020-11-29","H","H4MO08162","I","8","2013-02-19","C","False","MO","REP","2022","SMITH, JASON T","REPUBLICAN PARTY","True","2020-11-29","Incumbent","H4MO08162","null","08","2016","2018","2020","08","2016","2018","2022","","","08","","","","","08","08","","","","","","2020","2022","","","","","","","","","","",""
"60ad40ff9bac61a0427666a8","2018","02","False","2018","House","2018-04-17T21:13:11+00:00","2018-01-13","H","H8KS02215","O","2","2018-01-13","C","False","KS","REP","2018","TANNAHILL, TYLER NATHAN","REPUBLICAN PARTY","True","2018-01-13","Open seat","H8KS02215","null","02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a0427666a9","2020","02","False","2020","House","2020-08-21T01:04:24+00:00","2020-06-09","H","H0KS02212","C","2","2020-06-09","C","False","KS","REP","2020","TAYLOR, DENNIS R MR.","REPUBLICAN PARTY","True","2020-06-09","Challenger","H0KS02212","null","02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a0427666aa","2018","04","False","2018","House","2018-04-17T21:13:11+00:00","2018-01-27","H","H8MO04097","C","4","2018-01-27","C","False","MO","DEM","2018","THOMPSON, HALLIE JESS","DEMOCRATIC PARTY","True","2018-01-27","Challenger","H8MO04097","null","04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a0427666ab","2020","00","False","2020","Senate","2019-10-25T21:28:14+00:00","2019-08-07","S","S0KS00299","O","0","2019-08-07","C","False","KS","REP","2020","WAGLE, SUSAN","REPUBLICAN PARTY","True","2019-08-07","Open seat","S0KS00299","null","00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a0427666ac","2012","02","False","2012","House","2021-04-04T01:02:57+00:00","2021-04-03","H","H2MO02102","I","2","2011-04-27","C","False","MO","REP","2022","WAGNER, ANN L.","REPUBLICAN PARTY","True","2021-04-03","Incumbent","H2MO02102","null","02","2014","2016","2018","02","2014","2016","2020","2022","","02","","","","","02","02","02","","","","","2018","2020","2022","","","","","","","","","",""
"60ad40ff9bac61a0427666ad","2016","04","False","2016","House","2015-04-13T21:16:54+00:00","2015-01-20","H","H6MO04216","C","4","2015-01-20","C","False","MO","DEM","2016","WHITE, JAMES LLOYD","DEMOCRATIC PARTY","True","2015-01-20","Challenger","H6MO04216","null","04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40ff9bac61a0427666ae","2018","03","False","2018","House","2018-04-17T21:13:11+00:00","2018-02-21","H","H8KS03163","C","3","2018-02-21","C","False","KS","DEM","2018","WILLIAMS, SYLVIA","DEMOCRATIC PARTY","True","2018-02-21","Challenger","H8KS03163","null","03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
